"Date","Belknap","Carroll","Cheshire","Coos","Grafton","Hillsborough","Merrimack","Rockingham","Strafford","Sullivan"
2020-05-18,53,44,48,4,62,1764,282,1113,234,16
2020-05-19,53,44,49,4,63,1820,283,1138,240,16
2020-05-20,54,44,49,4,64,1932,290,1159,242,16
2020-05-21,54,46,50,4,66,1963,299,1179,243,16
2020-05-22,54,46,51,4,68,2004,307,1199,248,16
2020-05-23,55,46,51,4,69,2049,312,1218,253,17
2020-05-24,55,46,52,4,69,2095,320,1223,254,17
2020-05-25,55,46,54,4,69,2132,321,1230,257,17
2020-05-26,56,46,54,5,69,2149,324,1240,259,17
2020-05-27,57,46,54,5,72,2183,327,1254,261,17
2020-05-28,57,46,55,5,74,2254,331,1277,263,17
2020-05-29,58,46,57,5,74,2342,334,1284,267,19
2020-05-30,58,46,57,5,74,2342,334,1284,267,19
2020-05-31,60,47,57,5,76,2464,342,1306,269,19
2020-06-01,60,48,57,5,76,2486,346,1313,269,19
2020-06-02,63,48,57,5,76,2528,352,1320,271,19
2020-06-03,63,48,57,5,76,2554,353,1336,273,20
2020-06-04,64,48,57,5,76,2614,359,1347,278,20
2020-06-05,64,48,57,5,76,2614,359,1347,278,20
2020-06-06,67,48,57,5,77,2709,371,1378,277,20
2020-06-07,68,48,57,5,76,2731,372,1380,277,20
2020-06-08,70,48,59,6,76,2753,375,1386,277,20
2020-06-09,70,48,59,6,76,2753,375,1386,277,20
2020-06-10,70,49,59,6,76,2833,383,1392,278,24
2020-06-11,72,49,60,6,76,2853,386,1400,278,25
2020-06-12,73,49,60,6,76,2883,390,1406,278,25
2020-06-13,74,49,60,6,76,2925,391,1410,278,25
2020-06-14,74,49,60,6,76,2942,391,1412,278,25
2020-06-15,74,49,60,6,76,2963,392,1416,279,25
2020-06-16,74,49,62,6,75,2981,392,1418,279,24
2020-06-17,74,49,63,6,75,3048,392,1422,280,24
2020-06-18,76,49,62,6,76,3060,392,1424,280,24
2020-06-19,77,51,63,6,76,3087,393,1427,281,24
2020-06-20,78,51,64,6,76,3110,396,1429,283,24
2020-06-21,78,52,64,6,76,3126,396,1436,284,24
2020-06-22,78,52,64,6,76,3134,397,1439,285,24
2020-06-23,78,52,64,6,76,3145,398,1442,285,24
2020-06-24,78,52,66,6,77,3163,400,1443,286,25
2020-06-25,78,53,66,6,80,3187,401,1450,288,27
2020-06-26,79,53,67,6,83,3199,407,1455,290,30
2020-06-27,81,53,67,6,83,3231,408,1465,290,31
2020-06-28,81,54,67,6,84,3254,407,1470,291,31
2020-06-29,81,54,69,6,84,3263,409,1470,292,31
2020-06-30,81,54,71,7,85,3275,410,1474,292,32
2020-07-01,81,54,72,7,86,3288,412,1476,292,33
2020-07-02,81,61,72,7,86,3295,414,1479,292,34
2020-07-03,82,61,72,7,87,3312,417,1489,294,34
2020-07-04,82,61,72,7,87,3322,418,1492,295,35
2020-07-05,82,60,73,7,88,3341,418,1494,295,35
2020-07-06,85,63,73,9,88,3348,419,1495,296,35
2020-07-07,86,64,74,9,88,3361,420,1499,295,35
2020-07-08,87,64,74,9,90,3370,421,1505,296,35
2020-07-09,87,65,75,9,90,3387,422,1505,297,35
2020-07-10,88,66,75,9,90,3391,423,1514,298,35
2020-07-11,90,66,75,11,91,3410,425,1520,299,35
2020-07-12,90,67,76,11,91,3427,427,1523,301,35
2020-07-13,91,67,76,11,92,3433,430,1526,301,36
2020-07-14,92,68,77,11,94,3443,432,1531,306,37
2020-07-15,93,69,78,11,96,3455,434,1534,306,37
2020-07-16,95,69,79,11,97,3468,435,1541,307,37
2020-07-17,95,71,79,11,98,3486,436,1545,307,37
2020-07-18,95,71,80,13,98,3500,437,1551,306,37
2020-07-19,96,71,80,13,99,3510,439,1551,306,38
2020-07-20,96,71,80,13,99,3549,440,1557,306,38
