"Date","Apache","Cochise","Coconino","Gila","Graham","Greenlee","La Paz","Maricopa","Mohave","Navajo","Pima","Pinal","Santa Cruz","Yavapai","Yuma"
2020-04-27,362,36,425,11,9,2,7,3457,96,628,1164,359,30,77,62
2020-04-28,380,37,439,11,9,2,7,3578,99,665,1188,365,31,77,67
2020-04-29,392,38,453,12,10,2,8,3723,105,682,1215,387,31,79,72
2020-04-30,449,39,486,13,16,2,14,3972,117,712,1241,397,33,79,85
2020-05-01,478,39,498,13,17,2,15,4156,122,741,1267,417,33,82,89
2020-05-02,507,39,512,14,17,2,14,4421,127,766,1300,435,34,87,89
2020-05-03,526,39,527,14,18,2,14,4585,135,777,1326,456,34,89,98
2020-05-04,549,39,540,14,18,2,14,4751,141,800,1346,468,34,93,115
2020-05-05,576,39,561,14,19,2,16,4929,147,869,1379,478,35,126,115
2020-05-06,612,40,588,15,19,2,18,5138,150,892,1425,497,37,140,134
2020-05-07,630,40,618,17,19,2,20,5196,158,912,1465,530,38,152,148
2020-05-08,671,41,659,19,18,2,22,5525,171,945,1520,566,38,170,159
2020-05-09,710,41,679,19,19,2,22,5779,178,981,1554,585,40,175,176
2020-05-10,716,41,699,19,19,2,23,5827,193,983,1585,600,44,177,191
2020-05-11,727,42,713,19,19,2,23,5988,198,1006,1602,620,45,180,199
2020-05-12,744,43,720,19,20,2,22,6219,207,1017,1623,636,51,206,207
2020-05-13,817,43,772,19,21,2,25,6341,213,1099,1661,643,50,227,283
2020-05-14,859,44,795,21,21,2,27,6599,220,1150,1696,650,62,243,285
2020-05-15,927,45,823,22,21,2,36,6821,242,1177,1750,670,69,254,310
2020-05-16,962,46,839,22,20,2,37,7096,250,1238,1781,678,72,260,363
2020-05-17,981,46,866,22,20,2,38,7240,250,1273,1814,693,75,262,363
2020-05-18,988,46,901,22,20,2,38,7340,251,1285,1825,702,78,267,443
2020-05-19,1023,46,943,22,20,3,38,7482,262,1320,1888,720,97,269,443
2020-05-20,1080,46,961,22,21,3,40,7644,267,1361,1903,724,102,273,459
2020-05-21,1121,51,972,22,21,3,45,7835,277,1421,1944,732,123,273,508
2020-05-22,1139,56,979,24,21,3,48,7950,288,1470,1974,749,131,284,508
2020-05-23,1144,58,1000,23,21,3,49,8177,303,1491,2002,751,143,284,604
2020-05-24,1191,59,1019,24,21,3,50,8277,304,1523,2027,755,169,285,670
2020-05-25,1191,59,1028,24,24,3,51,8379,319,1543,2046,764,186,288,670
2020-05-26,1214,64,1041,24,24,3,51,8448,329,1550,2075,766,187,291,797
2020-05-27,1250,63,1066,25,25,3,54,8627,339,1652,2119,777,188,292,838
2020-05-28,1290,67,1078,25,26,4,53,8896,350,1678,2167,788,225,294,936
2020-05-29,1414,67,1104,28,27,4,54,9112,369,1752,2234,814,262,295,936
2020-05-30,1491,72,1123,30,28,4,70,9522,383,1833,2290,837,297,296,982
2020-05-31,1524,74,1151,31,32,6,78,9815,396,1866,2368,863,330,297,1105
2020-06-01,1526,76,1155,31,32,6,79,9937,403,1873,2382,865,330,297,1137
2020-06-02,1569,89,1173,35,37,8,92,10536,409,1957,2496,909,365,300,1289
2020-06-03,1586,94,1186,37,41,8,91,11068,422,1994,2627,940,438,304,1520
2020-06-04,1637,105,1221,39,38,8,110,11229,428,2042,2669,948,462,307,1643
2020-06-05,1656,120,1248,42,40,9,149,12091,447,2104,2883,1018,503,314,1815
2020-06-06,1692,122,1267,43,39,9,158,12761,485,2152,2950,1067,530,326,1850
2020-06-07,1727,141,1282,45,40,10,181,13498,500,2198,3098,1112,599,327,2231
2020-06-08,1732,149,1290,46,41,10,183,14003,512,2229,3154,1127,615,330,2257
2020-06-09,1747,156,1289,47,42,10,189,14374,513,2253,3161,1164,633,340,2378
2020-06-10,1811,167,1310,48,45,10,205,15282,552,2388,3350,1209,688,348,2439
2020-06-11,1887,171,1317,49,48,12,211,16018,563,2479,3479,1281,805,359,2588
2020-06-12,1927,178,1345,54,48,11,217,17010,584,2512,3628,1363,833,367,2962
2020-06-13,1967,206,1360,59,48,11,221,17791,586,2590,3889,1500,914,374,3144
2020-06-14,1972,216,1368,70,50,11,221,18692,589,2619,3910,1500,970,374,3144
2020-06-15,1975,221,1373,87,50,12,222,19372,618,2636,3944,1568,988,374,3404
2020-06-16,1996,241,1393,91,55,12,238,20775,624,2749,4329,1727,1104,384,3467
2020-06-17,1998,248,1410,99,56,12,238,22272,636,2771,4385,1793,1165,387,3467
2020-06-18,2059,267,1439,115,58,13,245,23880,676,2874,4682,1888,1210,402,3637
2020-06-19,2103,332,1470,125,59,14,257,25999,686,2928,5019,2130,1293,417,4078
2020-06-20,2116,362,1490,143,61,13,268,28303,717,2984,5313,2171,1347,436,4403
2020-06-21,2117,363,1536,160,63,13,273,30136,721,3009,5370,2357,1413,456,4604
2020-06-22,2121,372,1541,176,65,13,279,31650,723,3037,5587,2459,1482,490,4604
2020-06-23,2165,432,1595,192,66,16,286,33883,813,3166,6089,2704,1521,510,4940
2020-06-24,2194,441,1611,201,71,16,289,34992,841,3248,6318,2778,1538,521,5131
2020-06-25,2235,468,1676,216,70,17,299,37135,881,3311,6546,2912,1587,564,5364
2020-06-26,2250,509,1713,237,75,17,309,39626,927,3367,6836,3035,1637,597,5524
2020-06-27,2250,538,1735,249,82,18,315,42374,962,3397,7086,3154,1654,628,5680
2020-06-28,2303,561,1819,268,85,18,328,44962,1004,3537,7525,3350,1698,668,5793
2020-06-29,2309,580,1850,271,92,18,332,45178,1028,3570,7568,3382,1717,755,5895
2020-06-30,2337,614,1885,292,96,18,342,48592,1071,3625,8004,3574,1771,781,6225
2020-07-01,2381,657,1941,309,108,18,345,52266,1142,3703,8387,3777,1802,771,6498
2020-07-02,2405,678,1986,314,117,19,346,54757,1248,3744,8577,3908,1849,814,6683
2020-07-03,2418,710,2087,325,125,19,351,57929,1342,3817,9024,4139,1887,861,6838
2020-07-04,2423,740,2107,335,127,18,357,59829,1358,3848,9313,4237,1932,881,7062
2020-07-05,2439,791,2164,354,140,21,363,62296,1384,3883,9621,4391,1981,929,7346
2020-07-06,2441,826,2190,349,152,26,371,64915,1413,3904,9873,4600,2002,948,7445
2020-07-07,2471,855,2237,361,172,26,374,67543,1448,4015,10184,4792,2048,969,7599
2020-07-08,2499,884,2250,373,179,26,381,70128,1509,4089,10485,4959,2061,1016,7775
2020-07-09,2520,905,2338,385,180,27,384,73165,1595,4150,10835,5156,2095,1037,7899
2020-07-10,2534,980,2379,424,184,29,394,76328,1696,4255,11172,5332,2133,1058,7994
2020-07-11,2551,1020,2427,439,201,32,398,78481,1759,4279,11443,5513,2162,1082,8143
2020-07-12,2579,1049,2457,445,204,32,407,80146,1825,4337,11767,5614,2180,1123,8302
2020-07-13,2580,1062,2475,446,207,33,410,81216,1831,4355,11856,5627,2186,1156,8384
2020-07-14,2611,1095,2523,468,218,33,412,84233,1937,4482,12114,5945,2208,1189,8629
2020-07-15,2644,1131,2532,479,221,38,422,86483,2045,4529,12406,6118,2226,1229,8851
2020-07-16,2658,1140,2581,482,236,40,422,88954,2108,4598,12697,6243,2251,1254,8949
2020-07-17,2691,1186,2619,512,240,38,428,91863,2195,4669,13058,6420,2270,1299,9035
2020-07-18,2735,1217,2647,551,278,39,434,93870,2229,4768,13270,6536,2270,1335,9086
2020-07-19,2741,1258,2664,570,292,40,435,95471,2269,4801,13449,6654,2305,1375,9300
2020-07-20,2740,1260,2675,573,298,40,435,96711,2281,4817,13594,6651,2340,1394,9374
