"Date","Androscoggin","Aroostook","Cumberland","Franklin","Hancock","Kennebec","Knox","Lincoln","Oxford","Penobscot","Piscataquis","Sagadahoc","Somerset","Waldo","Washington","York"
2020-04-07,23,2,253,5,2,26,9,9,12,31,0,13,4,5,1,115
2020-04-08,23,2,262,5,3,26,9,9,12,31,0,13,5,7,1,121
2020-04-09,24,2,269,7,3,26,10,9,12,31,0,14,5,11,1,132
2020-04-10,24,2,276,7,4,29,10,9,12,33,0,15,5,19,1,137
2020-04-11,27,2,284,7,4,31,10,9,13,34,0,15,6,27,1,143
2020-04-12,28,2,292,8,5,32,10,9,13,34,0,15,8,29,1,144
2020-04-13,28,2,299,8,5,78,12,10,13,34,0,15,8,29,1,151
2020-04-14,29,2,331,8,5,81,11,11,13,34,0,15,11,29,1,152
2020-04-15,31,2,339,9,5,93,12,12,13,36,0,15,13,30,2,156
2020-04-16,32,3,343,9,5,94,12,12,13,37,0,15,14,39,2,164
2020-04-17,32,2,360,10,6,95,12,12,13,40,0,15,15,42,2,170
2020-04-18,35,2,369,11,6,96,12,12,13,41,0,15,15,42,2,175
2020-04-19,35,2,378,12,6,97,12,12,14,43,1,16,16,42,2,177
2020-04-20,35,2,380,13,6,97,12,12,14,44,1,16,16,43,2,181
2020-04-21,36,2,386,13,6,97,13,12,14,46,1,17,16,43,2,183
2020-04-22,36,2,395,14,7,99,13,12,14,47,1,17,16,45,2,185
2020-04-23,37,3,414,14,8,100,13,12,14,49,1,17,16,47,2,190
2020-04-24,38,4,426,26,8,100,13,12,14,50,1,17,16,47,2,191
2020-04-25,38,4,426,26,8,100,13,12,14,50,1,17,16,47,2,191
2020-04-26,42,4,454,27,9,101,14,12,15,53,1,18,17,48,2,196
2020-04-27,42,4,459,27,9,102,14,12,15,55,1,18,17,48,2,196
2020-04-28,42,5,466,27,10,103,15,12,15,57,1,18,18,48,2,200
2020-04-29,43,5,472,27,10,104,16,12,15,59,1,19,18,48,2,203
2020-04-30,48,5,486,27,10,104,16,13,15,78,1,19,17,48,2,205
2020-05-01,52,5,504,28,10,104,16,14,15,79,1,19,17,49,2,208
2020-05-02,54,5,527,28,10,104,16,14,15,82,1,19,17,49,2,210
2020-05-03,56,5,549,29,10,105,16,13,15,84,1,19,17,49,2,215
2020-05-04,60,5,558,29,10,105,16,13,15,85,1,19,17,49,2,219
2020-05-05,62,6,571,29,10,105,16,13,15,85,1,19,17,49,2,226
2020-05-06,67,6,583,29,10,106,17,14,16,87,1,20,17,49,2,230
2020-05-07,74,6,631,31,10,107,17,14,17,89,1,20,17,49,2,243
2020-05-08,78,6,658,31,10,108,18,15,17,89,1,20,17,49,2,249
2020-05-09,82,6,685,31,10,109,18,15,17,89,1,20,17,49,2,256
2020-05-10,84,6,702,31,10,109,18,15,17,90,1,21,17,49,2,261
2020-05-11,92,6,714,31,10,110,19,15,17,90,1,21,17,49,2,262
2020-05-12,97,6,721,31,10,111,19,15,17,90,1,21,17,49,2,264
2020-05-13,103,6,744,31,10,112,19,15,17,90,1,23,18,49,2,269
2020-05-14,109,7,778,31,10,113,19,15,17,91,1,25,18,50,2,277
2020-05-15,113,7,798,33,10,116,21,16,17,91,1,26,19,50,2,281
2020-05-16,120,7,821,33,10,120,21,17,17,93,1,26,20,50,2,288
2020-05-17,131,7,837,33,11,121,20,17,17,93,1,27,20,50,5,295
2020-05-18,139,7,852,33,11,121,20,17,17,93,1,27,20,50,2,302
2020-05-19,151,7,863,33,11,120,20,17,17,94,1,27,20,50,2,307
2020-05-20,185,8,891,34,11,121,20,17,18,95,1,28,20,50,2,316
2020-05-21,202,8,919,35,11,123,20,18,18,98,1,28,20,51,2,320
2020-05-22,209,8,968,36,11,124,20,18,19,98,1,28,21,51,2,331
2020-05-23,227,8,1009,36,11,126,20,19,19,98,1,28,21,51,2,337
2020-05-24,233,8,1032,36,11,128,20,20,21,98,1,28,21,51,2,344
2020-05-25,238,8,1040,36,11,128,20,20,21,99,1,28,21,51,2,350
2020-05-26,247,8,1056,36,11,128,20,20,22,99,1,28,21,51,2,359
2020-05-27,252,8,1065,36,11,128,20,20,26,99,1,29,21,51,2,365
2020-05-28,264,8,1092,36,11,128,20,20,29,100,1,30,22,51,2,370
2020-05-29,269,10,1117,36,11,128,20,20,32,100,1,30,22,51,2,373
2020-05-30,287,10,1146,36,11,128,20,20,33,100,1,30,22,51,2,381
2020-05-31,298,10,1175,36,11,128,20,20,34,100,1,30,22,51,2,385
2020-06-01,304,10,1189,36,11,128,20,20,33,100,1,30,22,51,2,391
2020-06-02,314,10,1203,36,11,127,20,20,33,100,1,31,22,51,1,396
2020-06-03,326,10,1226,36,11,127,21,20,33,100,1,31,22,51,1,398
2020-06-04,334,10,1244,36,11,128,21,20,32,100,1,30,22,51,1,401
2020-06-05,338,10,1265,36,12,129,21,20,32,101,1,30,22,52,1,408
2020-06-06,346,10,1290,36,12,130,21,20,32,101,1,30,22,52,1,420
2020-06-07,367,10,1307,36,12,130,21,20,31,101,1,30,22,52,1,427
2020-06-08,376,10,1311,36,12,131,21,20,31,101,1,30,24,53,1,428
2020-06-09,381,10,1324,36,12,131,21,20,31,101,1,30,24,53,1,428
2020-06-10,390,10,1339,36,12,132,21,20,31,101,1,30,25,54,1,432
2020-06-11,397,10,1361,36,12,133,21,20,31,101,1,30,25,55,1,431
2020-06-12,415,10,1388,37,13,134,21,21,31,102,1,30,25,55,1,433
2020-06-13,419,10,1414,37,13,136,22,21,31,102,1,30,25,55,1,438
2020-06-14,425,10,1434,37,13,136,22,21,33,102,1,30,25,55,1,446
2020-06-15,429,10,1445,37,13,136,23,21,34,102,1,30,25,55,1,446
2020-06-16,428,10,1450,37,13,137,23,21,34,101,1,30,25,55,1,450
2020-06-17,434,10,1461,37,13,138,23,21,34,101,1,30,26,55,1,450
2020-06-18,441,11,1493,37,13,138,23,21,33,101,1,30,26,55,2,451
2020-06-19,445,11,1516,38,13,138,23,21,34,102,1,30,26,55,2,457
2020-06-20,448,11,1534,38,14,137,24,21,34,102,2,30,26,55,2,458
2020-06-21,452,17,1540,38,14,138,24,21,34,102,2,30,26,55,2,461
2020-06-22,453,19,1542,38,15,138,24,21,34,103,2,31,26,55,2,466
2020-06-23,454,21,1554,38,15,141,24,21,34,104,2,31,26,55,2,472
2020-06-24,454,22,1566,38,15,140,24,21,35,104,2,32,26,55,2,479
2020-06-25,460,21,1608,38,15,142,24,21,35,105,2,32,26,55,2,482
2020-06-26,464,21,1627,38,16,143,24,22,35,104,2,32,27,55,2,484
2020-06-27,469,23,1656,39,16,143,24,23,35,105,3,34,27,55,2,497
2020-06-28,476,23,1682,39,16,143,24,23,35,105,3,34,27,55,2,499
2020-06-29,476,22,1697,41,16,146,24,23,37,106,3,34,28,55,2,504
2020-06-30,483,23,1715,41,16,146,24,23,37,106,3,34,28,55,2,515
2020-07-01,484,24,1733,41,16,147,25,24,37,108,3,34,28,56,3,529
2020-07-02,488,24,1756,40,16,147,24,24,38,108,3,34,28,56,3,533
2020-07-03,490,24,1780,40,16,147,25,24,40,112,3,34,29,56,3,545
2020-07-04,494,24,1793,40,17,146,25,24,42,114,3,34,30,56,3,549
2020-07-05,496,24,1805,40,17,145,25,25,42,116,4,34,30,56,3,550
2020-07-06,496,24,1810,40,18,145,25,25,42,118,4,34,30,58,3,549
2020-07-07,496,24,1818,40,18,145,25,25,42,117,4,34,30,58,4,555
2020-07-08,499,24,1829,40,18,147,25,25,43,119,4,34,30,58,5,558
2020-07-09,502,24,1844,41,18,147,25,26,44,122,5,34,31,58,5,557
2020-07-10,503,24,1851,41,18,145,25,26,44,122,5,34,31,59,5,563
2020-07-11,501,24,1861,42,18,146,25,26,44,122,5,35,31,59,5,570
2020-07-12,501,24,1872,42,18,146,25,26,45,124,5,34,31,59,5,572
2020-07-13,502,24,1890,42,18,146,25,26,46,124,5,34,31,59,5,578
2020-07-14,502,25,1897,41,18,147,25,26,46,124,5,34,31,59,4,580
2020-07-15,506,24,1901,41,18,147,25,26,48,125,4,34,31,60,5,580
2020-07-16,507,25,1911,41,19,147,25,27,48,126,4,34,31,60,5,584
2020-07-17,509,26,1934,42,19,148,25,29,49,129,4,34,32,60,5,588
2020-07-18,509,27,1938,42,19,147,25,29,49,131,4,34,32,60,5,590
2020-07-19,511,27,1950,43,19,147,25,30,48,131,4,34,32,60,6,594
2020-07-20,512,28,1959,44,19,149,25,31,49,134,4,35,33,60,6,599
