"Date","Abbeville","Aiken","Allendale","Anderson","Bamberg","Barnwell","Beaufort","Berkeley","Calhoun","Charleston","Cherokee","Chester","Chesterfield","Clarendon","Colleton","Darlington","Dillon","Dorchester","Edgefield","Fairfield","Florence","Georgetown","Greenville","Greenwood","Hampton","Horry","Jasper","Kershaw","Lancaster","Laurens","Lee","Lexington","Marion","Marlboro","McCormick","Newberry","Oconee","Orangeburg","Pickens","Richland","Saluda","Spartanburg","Sumter","Union","Williamsburg","York"
2020-03-13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-03-14,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-03-15,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-03-16,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,15,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-03-17,0,0,0,2,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,0,22,2,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2020-03-18,0,0,0,2,0,0,6,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,5,0,25,2,0,1,4,0,0,0,0,0,0,0,4,0,1,0,0,0,1
2020-03-19,1,0,0,2,0,0,7,0,1,5,0,0,0,0,0,0,0,1,0,1,0,0,7,0,0,6,0,29,3,0,1,5,0,0,0,0,0,0,0,8,1,1,0,0,0,1
2020-03-20,1,1,0,6,0,0,8,1,1,6,0,0,0,1,0,1,0,1,0,1,1,0,12,0,0,8,0,36,3,0,1,8,0,0,0,0,0,2,1,22,1,1,1,0,0,1
2020-03-21,1,1,0,10,0,0,13,1,1,9,0,0,0,1,1,2,1,1,1,1,1,0,17,3,0,9,0,43,3,0,1,12,0,1,0,1,0,3,1,27,1,2,3,0,0,2
2020-03-22,1,1,0,10,0,0,14,2,1,13,0,0,0,1,1,5,1,1,1,1,1,0,19,3,1,11,1,44,5,0,1,12,0,1,0,1,0,3,1,29,1,2,3,0,0,4
2020-03-23,1,1,0,15,0,0,21,4,1,31,0,1,0,4,1,7,1,2,1,2,3,2,31,2,0,16,1,54,7,0,2,17,0,0,0,1,2,8,1,43,1,3,4,0,0,7
2020-03-24,1,2,0,16,0,0,22,4,1,36,0,1,1,5,1,8,1,3,1,2,5,2,39,2,0,19,2,58,7,0,2,19,0,1,0,1,2,8,1,45,1,4,8,0,0,11
2020-03-25,3,2,0,19,0,0,26,5,1,52,0,1,3,5,1,8,1,4,1,3,5,2,50,2,0,20,2,63,6,0,2,18,1,1,0,1,2,9,6,59,1,9,10,1,1,18
2020-03-26,3,2,0,19,0,0,26,5,1,52,0,1,3,5,1,8,1,4,1,3,5,2,50,2,0,20,2,63,6,0,2,18,1,1,0,1,2,9,6,59,1,9,10,1,1,18
2020-03-27,4,6,0,21,0,0,35,10,1,92,0,1,4,6,2,8,1,9,1,4,11,3,51,2,0,24,3,70,8,0,2,25,1,1,0,1,3,12,7,65,1,16,10,1,1,19
2020-03-28,3,7,0,24,0,0,39,13,1,108,0,2,4,7,4,8,1,10,1,4,12,6,57,3,0,28,3,77,9,2,5,30,1,1,0,2,3,14,10,81,1,21,24,1,2,31
2020-03-29,3,9,0,29,0,0,50,14,2,117,0,2,4,16,4,10,1,10,2,4,14,10,71,3,0,31,3,83,13,3,5,35,1,2,0,2,4,16,11,95,1,25,30,1,2,36
2020-03-30,3,9,0,31,0,1,74,14,2,123,0,2,6,18,5,11,1,12,2,5,15,11,88,3,0,32,3,99,14,3,5,41,2,2,0,2,4,21,13,135,1,30,34,3,2,43
2020-03-31,4,13,0,39,2,1,91,15,3,142,0,2,6,25,5,11,1,17,2,6,19,13,106,5,0,37,3,105,15,3,5,54,2,2,0,2,5,22,14,148,1,37,39,3,2,56
2020-04-01,4,18,1,47,4,2,101,18,3,190,0,3,9,28,5,11,1,27,4,7,21,14,129,6,0,42,4,116,17,4,5,61,2,2,0,2,5,24,14,176,1,45,48,3,3,66
2020-04-02,6,22,1,57,5,2,130,33,3,231,1,6,10,31,6,15,1,35,4,8,26,15,154,8,1,50,7,129,26,4,8,70,2,3,1,4,5,24,15,200,2,50,66,5,6,66
2020-04-03,6,22,1,62,5,2,131,42,3,247,1,7,10,34,6,15,1,36,5,8,29,16,174,9,1,51,8,136,31,6,13,78,2,3,1,5,5,25,17,224,2,60,75,6,6,73
2020-04-04,6,24,2,68,5,2,148,45,4,274,2,12,13,45,9,19,1,45,5,12,35,17,183,10,1,63,9,141,39,6,16,95,2,3,1,8,8,26,17,242,4,72,79,9,9,81
2020-04-05,6,27,2,69,5,3,156,46,5,274,2,12,13,54,8,19,1,44,6,14,36,18,186,10,2,64,9,148,41,6,17,117,2,3,1,7,8,27,18,298,4,75,80,11,10,85
2020-04-06,6,27,2,72,5,3,163,52,5,300,4,14,15,58,10,27,1,52,6,16,39,21,204,11,3,76,11,152,43,6,18,124,4,6,2,7,8,28,20,311,4,88,90,12,11,95
2020-04-07,5,28,2,75,6,3,169,55,5,305,4,15,16,68,10,29,1,51,6,17,45,22,214,12,4,91,12,159,46,6,19,130,5,8,2,7,9,30,21,340,5,120,105,15,12,108
2020-04-08,5,28,2,75,6,3,169,55,5,305,4,15,16,68,10,29,1,51,6,17,45,22,214,12,4,91,12,159,46,6,19,130,5,8,2,7,9,30,21,340,5,120,105,15,12,108
2020-04-09,7,42,2,96,6,4,184,61,6,313,5,16,21,75,15,31,3,58,6,17,53,25,254,15,5,106,12,170,51,9,24,161,5,10,3,11,12,35,22,417,7,139,126,19,14,120
2020-04-10,7,48,4,100,6,5,186,67,6,328,8,17,22,80,15,33,5,65,10,18,64,28,308,16,6,124,12,177,61,11,27,184,5,11,3,13,12,37,27,452,7,150,142,20,15,125
2020-04-11,9,50,4,102,7,5,191,67,6,331,8,18,22,85,15,37,5,67,10,21,66,32,325,17,6,132,12,178,62,13,27,202,6,13,3,13,13,37,28,479,7,170,146,22,15,127
2020-04-12,9,50,5,106,7,5,194,83,6,339,8,19,22,85,16,39,5,71,10,21,72,31,339,17,7,134,12,179,65,14,29,212,7,14,3,13,14,37,28,494,6,174,148,22,15,134
2020-04-13,9,51,5,109,7,5,194,90,6,351,8,20,23,86,17,43,5,73,10,23,79,31,346,18,9,147,12,181,66,14,31,212,7,15,3,13,14,37,28,494,6,174,148,22,15,134
2020-04-14,9,60,5,111,7,5,198,98,6,353,8,20,27,89,18,44,5,73,9,24,82,33,373,18,11,151,14,187,67,14,33,208,8,15,4,15,14,38,34,535,7,190,156,23,16,138
2020-04-15,10,60,5,114,7,5,205,101,5,360,8,22,28,90,21,44,7,78,10,24,87,33,400,19,12,150,14,187,68,14,34,218,8,15,4,16,14,38,34,548,8,191,161,23,18,138
2020-04-16,10,63,5,119,7,5,206,116,5,383,12,22,29,98,21,49,10,78,10,25,103,34,436,31,15,155,14,189,71,18,35,267,8,19,5,22,14,40,37,579,9,199,168,23,18,149
2020-04-17,10,66,6,127,7,5,214,123,6,385,13,23,31,106,21,52,11,83,10,25,121,34,447,32,18,167,15,190,73,19,40,267,14,25,5,23,14,41,36,612,9,204,176,23,19,151
2020-04-18,15,67,6,133,7,5,220,124,6,385,13,23,35,109,23,59,17,84,11,25,128,34,486,34,20,176,16,195,73,19,40,271,13,25,6,23,16,41,38,626,10,211,181,23,20,156
2020-04-19,17,69,6,132,7,5,225,132,6,390,13,24,36,112,23,64,20,88,12,25,150,33,492,36,21,185,15,197,79,20,42,273,15,28,6,21,17,43,39,652,12,213,181,24,21,156
2020-04-20,17,70,6,134,7,6,225,138,6,391,14,25,36,120,23,69,22,88,12,25,153,34,498,37,21,185,15,201,79,20,42,274,15,29,6,21,17,44,39,657,12,219,185,24,26,159
2020-04-21,17,70,6,134,7,6,225,138,6,391,14,25,36,120,23,69,22,83,12,25,153,34,498,37,21,185,15,201,79,20,42,274,15,29,6,20,17,44,38,657,12,219,185,24,26,159
2020-04-22,22,82,6,135,7,8,236,143,6,406,14,25,37,138,23,85,23,85,21,26,176,35,536,41,21,190,15,205,80,21,42,286,22,32,6,21,19,51,41,725,18,227,206,24,27,166
2020-04-23,23,84,7,137,7,10,241,152,6,412,13,26,39,151,23,92,28,84,21,27,195,36,558,41,21,196,15,208,79,21,45,294,22,33,6,21,20,52,44,736,19,237,207,24,33,171
2020-04-24,24,86,8,140,7,10,244,162,6,416,13,26,40,163,24,99,34,84,22,28,225,37,557,42,21,198,17,211,80,21,48,302,24,35,6,22,20,53,44,766,23,238,209,25,38,172
2020-04-25,24,89,8,138,7,14,253,181,6,424,14,27,44,172,26,103,35,86,23,29,242,39,564,43,21,201,17,215,85,22,51,317,29,38,6,22,20,56,44,787,28,243,213,25,45,177
2020-04-26,27,89,8,145,8,15,255,181,6,436,14,27,44,181,26,104,41,90,24,33,265,39,609,44,21,203,19,218,87,29,51,329,32,40,6,23,22,61,49,837,35,249,214,25,56,181
2020-04-27,29,92,8,149,8,15,254,171,6,435,15,27,46,185,26,107,44,92,25,33,268,39,649,45,22,209,19,223,88,35,55,334,33,41,6,23,24,60,53,840,40,255,215,25,59,186
2020-04-28,29,94,10,152,9,17,259,174,6,438,15,27,47,194,26,110,44,91,26,33,273,40,661,46,22,211,19,229,90,38,58,347,32,42,6,23,24,63,54,864,41,258,220,25,60,188
2020-04-29,29,97,10,157,9,17,262,174,6,441,15,27,48,201,26,114,47,94,29,34,288,40,689,46,23,211,19,234,93,38,58,358,32,43,6,24,24,68,54,884,41,262,223,25,65,197
2020-04-30,31,99,10,160,10,20,263,180,7,444,17,30,51,210,27,126,52,97,29,36,304,43,722,49,23,215,19,237,96,39,63,361,34,45,6,26,24,72,54,899,47,287,228,26,67,210
2020-05-01,31,101,11,164,10,21,269,183,7,452,17,30,58,214,33,130,54,100,29,36,325,43,730,49,26,223,21,237,99,40,65,370,36,46,6,27,24,77,57,913,52,295,230,26,76,215
2020-05-02,31,105,11,169,12,24,269,185,7,456,17,32,59,218,32,135,67,100,31,42,329,44,749,53,26,223,21,243,100,40,68,414,37,49,6,28,25,81,58,946,64,302,248,26,88,219
2020-05-03,33,108,12,171,12,25,270,186,7,457,17,34,59,229,32,140,72,101,32,68,336,45,757,55,26,226,21,245,101,40,68,420,37,50,6,30,26,87,58,964,67,308,251,26,90,221
2020-05-04,33,108,14,171,13,25,269,190,7,464,18,34,60,232,32,144,74,100,32,68,348,46,788,55,26,230,21,245,99,41,68,432,40,52,7,30,27,92,59,977,68,315,264,26,91,222
2020-05-05,33,108,18,172,13,27,270,188,7,463,18,35,61,237,32,149,74,101,32,71,353,46,796,57,26,236,21,247,96,42,69,440,41,54,7,31,29,94,61,990,70,317,270,26,94,219
2020-05-06,33,108,18,173,14,28,269,189,7,464,19,34,65,248,32,151,74,103,35,74,358,48,803,61,27,238,21,245,99,42,70,442,41,54,7,31,31,95,61,1014,73,318,271,26,100,222
2020-05-07,34,109,19,182,14,29,269,189,7,467,21,35,69,253,32,157,78,104,36,75,370,50,835,61,27,242,21,250,101,44,80,458,43,56,7,31,32,95,62,1043,82,325,277,27,119,225
2020-05-08,34,112,23,181,14,32,273,191,7,481,21,39,72,258,32,171,84,105,36,76,399,49,869,62,27,251,21,250,103,46,92,465,44,57,7,32,36,99,63,1057,84,333,281,29,136,233
2020-05-09,34,116,24,184,15,33,273,192,8,482,22,39,75,262,32,173,88,105,39,80,412,50,912,62,27,256,23,253,104,46,99,472,47,57,7,31,37,99,68,1082,86,336,286,30,136,237
2020-05-10,34,118,25,185,16,33,279,192,8,481,22,38,79,263,32,174,95,106,39,80,424,50,933,62,28,262,25,253,110,47,106,478,48,57,7,31,37,101,73,1100,87,343,287,30,137,238
2020-05-11,34,119,26,186,16,33,280,195,8,491,22,40,80,265,32,179,102,108,39,81,444,51,946,63,28,267,25,257,111,48,115,484,49,59,7,31,37,101,73,1119,90,346,290,31,142,242
2020-05-12,34,123,27,188,16,35,282,197,8,497,22,39,80,267,32,179,102,109,39,82,455,53,971,63,28,269,25,259,115,47,117,482,50,59,7,32,39,104,77,1145,91,351,294,31,147,258
2020-05-13,34,132,29,191,16,36,282,198,9,491,22,39,85,266,33,177,104,109,41,83,469,51,981,67,28,273,25,257,110,47,122,492,48,60,7,31,39,106,85,1167,92,354,296,31,150,265
2020-05-14,34,135,29,201,16,36,284,199,9,491,22,39,90,266,41,181,113,110,41,96,487,51,996,68,29,278,25,257,108,50,123,503,47,67,7,30,41,108,87,1180,94,358,301,31,158,272
2020-05-15,34,137,30,202,16,39,288,201,9,501,23,40,93,274,48,194,115,110,41,108,505,51,1021,69,29,283,25,261,110,57,127,512,48,71,7,30,42,108,89,1196,98,376,313,31,165,280
2020-05-16,34,150,31,206,16,40,291,203,9,506,23,41,94,274,51,212,124,111,43,120,519,52,1058,69,29,293,26,265,109,57,158,509,51,73,7,31,41,112,91,1222,115,383,313,31,178,290
2020-05-17,35,154,33,207,17,40,292,201,9,507,23,42,96,286,52,218,129,113,44,122,524,52,1095,69,29,298,26,265,111,57,164,516,51,73,7,31,41,112,93,1238,122,399,321,31,178,293
2020-05-18,35,155,33,206,17,40,294,203,9,509,24,42,98,290,58,222,131,114,44,128,540,52,1116,71,30,299,27,270,111,57,170,518,52,75,7,33,41,113,93,1250,123,407,322,31,178,304
2020-05-19,36,156,33,211,18,41,299,203,9,515,25,41,101,293,58,227,132,114,44,134,547,52,1145,72,30,303,27,272,108,57,174,516,53,76,7,33,41,115,94,1267,123,411,323,31,181,308
2020-05-20,36,160,33,213,18,41,304,205,9,515,25,41,105,290,60,232,135,118,45,139,550,53,1155,72,30,314,28,275,108,57,175,519,56,80,7,33,41,117,97,1287,127,415,324,31,183,317
2020-05-21,36,161,34,217,20,41,306,209,9,523,25,41,108,290,63,240,138,120,46,152,563,53,1180,76,30,333,28,281,116,57,178,525,57,88,7,36,41,119,104,1302,132,421,331,31,189,324
2020-05-22,36,166,34,219,20,41,314,211,9,540,26,44,118,289,66,242,146,126,47,155,574,54,1200,79,31,359,30,289,120,57,181,537,60,91,8,44,42,122,110,1333,132,439,339,31,198,329
2020-05-23,35,169,34,218,20,43,332,214,9,550,27,46,129,289,69,244,147,137,48,158,588,56,1231,82,31,371,36,299,121,57,187,548,63,109,8,44,43,135,114,1349,134,450,344,31,207,339
2020-05-24,35,173,34,218,20,43,335,215,9,558,29,51,131,293,75,246,147,142,48,159,603,60,1286,82,34,377,38,300,121,58,191,553,64,111,8,46,47,139,120,1361,136,471,346,31,212,340
2020-05-25,35,178,34,218,21,43,336,218,9,561,29,52,132,293,74,247,148,140,49,160,602,69,1300,82,35,377,38,300,121,58,198,558,65,112,8,46,47,143,124,1366,136,476,347,31,216,346
2020-05-26,35,181,34,221,21,43,342,219,10,568,32,55,141,294,76,254,152,142,49,160,605,71,1344,92,35,382,39,305,122,59,207,572,66,117,8,48,47,152,127,1386,137,512,347,34,221,352
2020-05-27,35,184,34,222,21,43,346,219,10,576,32,59,149,295,76,260,155,151,49,163,612,71,1364,103,34,392,39,312,124,60,208,581,67,132,8,49,48,160,128,1405,137,529,357,35,226,363
2020-05-28,37,189,34,226,21,44,351,224,10,578,32,59,151,296,86,262,155,150,51,163,622,71,1382,121,36,395,39,317,126,63,209,589,67,137,8,51,49,161,129,1432,139,534,359,35,227,371
2020-05-29,39,191,34,234,21,44,361,228,11,586,34,62,165,296,92,276,156,161,51,168,637,74,1461,128,36,410,39,324,129,65,212,597,68,149,8,55,50,168,138,1461,142,555,365,36,229,385
2020-05-30,39,194,34,234,22,45,376,230,14,609,34,74,180,301,101,284,162,164,51,174,643,73,1469,129,36,417,41,329,130,67,217,625,68,161,8,60,50,179,140,1485,144,556,378,36,233,398
2020-05-31,42,197,35,239,22,46,385,233,15,617,39,80,196,301,105,295,165,166,51,179,655,76,1619,142,37,432,42,332,135,67,218,645,69,171,9,63,50,189,158,1518,145,617,384,37,236,407
2020-06-01,44,206,38,241,22,48,389,235,16,634,43,83,200,301,110,299,166,169,51,181,675,77,1690,147,38,454,42,338,140,68,218,657,71,173,9,62,54,201,164,1530,148,637,387,37,238,417
2020-06-02,46,208,38,244,23,48,398,242,15,646,43,87,203,302,114,308,170,165,51,181,678,78,1755,148,38,472,43,339,166,69,221,677,72,183,9,63,55,210,174,1542,148,645,396,40,245,421
2020-06-03,46,208,38,244,23,48,398,242,15,646,43,87,203,302,114,308,170,165,51,181,678,78,1806,148,38,472,43,339,166,69,221,677,72,183,9,63,55,210,174,1542,148,645,396,40,245,421
2020-06-04,46,208,38,244,23,48,398,242,15,646,43,87,203,302,114,308,170,165,51,181,678,78,1862,148,38,472,43,339,166,69,221,677,72,183,9,63,55,210,174,1542,148,645,396,40,245,421
2020-06-05,47,216,39,263,33,52,417,257,19,709,49,96,236,304,128,316,177,189,54,203,707,82,1939,160,38,536,45,368,189,77,227,766,74,198,10,71,55,242,186,1666,151,701,426,40,254,446
2020-06-06,47,216,39,263,33,52,417,257,19,709,49,96,236,304,128,316,177,189,54,203,707,82,2019,160,38,536,45,368,189,77,227,766,74,198,10,71,55,242,186,1666,151,701,426,40,254,446
2020-06-07,51,208,39,279,36,54,430,273,21,776,69,103,247,306,142,328,188,206,56,206,717,85,2076,172,41,618,47,379,201,88,229,836,84,206,10,79,58,255,197,1748,152,782,462,41,256,465
2020-06-08,58,212,39,280,36,54,444,282,22,811,70,109,250,306,144,330,189,216,56,211,724,94,2175,183,45,676,48,384,203,92,229,879,84,211,11,82,61,273,207,1794,154,813,472,41,260,486
2020-06-09,60,213,39,289,36,54,464,291,23,835,74,110,256,309,148,333,189,219,55,216,727,100,2222,198,46,720,50,391,214,97,231,913,83,211,11,87,61,283,212,1873,154,825,494,41,261,510
2020-06-10,60,216,39,287,36,54,483,315,23,869,76,110,265,311,159,334,190,214,56,219,730,103,2371,199,45,803,50,397,220,101,233,941,83,215,11,88,65,287,226,1938,154,835,509,41,262,536
2020-06-11,63,222,40,295,39,54,507,335,24,910,78,113,272,320,165,342,192,223,57,224,751,117,2492,235,50,849,52,404,232,109,232,992,86,221,11,90,70,301,242,2006,156,843,556,42,270,557
2020-06-12,62,225,40,306,40,54,540,346,27,959,86,114,281,325,177,343,198,230,58,223,770,132,2624,259,50,936,54,419,230,120,233,1049,88,226,11,93,73,309,262,2076,158,887,580,43,274,580
2020-06-13,63,228,40,316,41,54,566,364,30,1015,91,116,284,327,190,347,200,245,59,225,793,150,2779,273,50,1037,54,430,239,129,233,1098,95,231,11,95,76,330,281,2140,158,938,594,45,282,613
2020-06-14,67,232,40,341,45,54,590,386,33,1092,92,120,291,335,198,350,201,265,60,227,814,164,2920,304,50,1133,54,444,246,140,236,1155,103,236,11,99,81,359,296,2215,164,959,626,46,286,635
2020-06-15,70,234,40,347,48,55,615,406,38,1165,93,123,292,343,201,353,202,276,61,231,826,181,3011,312,50,1194,55,448,248,163,236,1184,105,237,11,105,87,394,303,2257,166,992,633,47,289,651
2020-06-16,73,240,41,352,50,56,647,427,46,1230,93,125,293,342,209,357,202,277,61,232,833,180,3072,315,50,1297,56,461,259,171,238,1216,108,237,11,108,94,415,326,2316,170,1026,648,49,296,685
2020-06-17,73,246,41,361,50,56,673,434,47,1264,96,127,295,347,211,363,207,286,61,233,855,202,3143,320,50,1417,57,469,270,179,238,1254,113,241,11,110,95,417,348,2368,171,1046,655,50,302,699
2020-06-18,73,256,41,375,53,56,721,458,48,1403,97,127,300,346,214,366,217,307,61,238,871,233,3306,322,50,1560,65,485,277,189,245,1298,118,245,11,116,100,430,367,2446,174,1088,690,53,309,728
2020-06-19,73,261,45,400,54,57,760,515,58,1554,99,131,306,349,217,371,219,323,63,246,878,227,3413,345,53,1697,67,502,298,202,246,1377,122,253,11,117,105,457,429,2531,179,1146,736,54,322,740
2020-06-20,86,267,45,423,60,59,816,563,62,1728,103,134,309,357,234,373,223,353,65,253,901,240,3536,353,54,1818,72,519,313,219,251,1451,141,261,11,125,110,471,464,2629,180,1183,776,54,329,782
2020-06-21,88,274,45,441,66,59,857,599,69,1836,106,138,311,359,244,376,226,387,69,257,921,258,3670,371,54,1931,76,531,322,237,254,1491,146,267,11,132,136,506,499,2663,183,1200,791,58,333,813
2020-06-22,87,279,46,461,66,60,884,644,73,2044,112,146,322,365,245,384,230,390,70,259,977,269,3768,374,55,2054,82,557,335,254,256,1513,155,274,11,137,154,524,529,2704,185,1247,825,62,339,859
2020-06-23,86,281,46,483,67,62,911,695,74,2251,113,151,328,373,252,386,231,423,71,266,995,286,3822,382,58,2189,87,570,344,269,265,1555,159,280,11,143,142,539,570,2778,187,1257,842,62,345,885
2020-06-24,91,302,46,505,76,66,951,740,74,2417,121,154,335,378,258,393,237,452,73,269,1014,303,4072,392,58,2372,92,581,352,278,264,1625,164,287,11,175,157,567,642,2880,192,1278,867,68,354,914
2020-06-25,99,314,47,508,79,67,983,805,82,2629,125,158,338,387,273,395,248,483,73,271,1037,337,4198,402,61,2497,95,587,383,314,264,1666,170,290,11,180,173,594,655,2956,191,1312,905,71,362,947
2020-06-26,100,325,47,525,83,69,1012,854,79,2861,130,160,344,403,284,405,255,499,73,272,1064,395,4391,405,61,2582,103,608,394,341,272,1775,171,297,11,187,192,621,684,3064,194,1369,945,72,368,989
2020-06-27,103,335,48,552,84,73,1066,892,78,3142,136,162,354,406,295,416,263,551,73,279,1104,426,4546,448,63,2803,110,615,412,372,276,1846,176,297,11,190,224,643,751,3192,200,1429,996,73,381,1047
2020-06-28,103,345,48,563,91,75,1125,949,82,3381,142,171,359,407,307,427,289,594,73,280,1134,435,4741,458,65,2987,121,628,421,407,283,1901,191,298,12,221,244,670,778,3285,203,1472,1003,73,383,1095
2020-06-29,106,358,48,578,103,77,1152,1007,83,3654,145,173,363,409,324,433,298,627,76,288,1159,440,4895,467,68,3152,122,640,447,422,285,1971,193,301,15,246,252,694,809,3363,206,1544,1022,84,389,1156
2020-06-30,113,387,48,608,113,79,1223,1069,87,4027,154,185,366,413,329,445,304,712,76,298,1199,458,5009,493,71,3321,132,665,475,471,289,2071,208,302,17,252,260,747,835,3518,208,1609,1059,90,400,1204
2020-07-01,113,406,50,635,117,82,1282,1170,99,4289,158,189,373,418,333,452,307,773,83,302,1230,489,5118,506,73,3550,138,695,493,489,293,2161,212,307,17,264,271,777,855,3632,215,1663,1080,91,412,1257
2020-07-02,119,434,58,676,130,86,1325,1278,99,4615,169,201,376,423,343,461,316,844,86,303,1266,506,5371,527,74,3730,142,708,506,521,295,2236,214,310,17,270,290,813,896,3757,219,1767,1115,95,413,1301
2020-07-03,118,451,58,742,140,88,1376,1392,103,5033,173,217,385,435,352,469,321,928,90,305,1296,549,5497,528,79,3966,170,725,519,546,301,2281,234,311,18,287,304,853,921,3866,224,1798,1158,98,421,1406
2020-07-04,119,488,58,761,144,91,1413,1467,105,5376,180,222,389,442,364,484,330,1004,95,311,1355,623,5696,534,81,4324,170,744,547,565,307,2322,262,313,21,291,318,882,942,4013,226,1835,1185,101,430,1456
2020-07-05,124,507,61,777,147,95,1462,1540,106,5651,185,227,393,446,378,492,336,1074,99,313,1384,658,5864,561,86,4482,178,767,555,590,308,2396,275,316,21,298,330,917,979,4127,235,1892,1195,102,435,1483
2020-07-06,135,516,64,798,148,99,1515,1654,107,5979,189,232,400,450,384,498,344,1133,100,316,1415,631,6019,595,87,4717,188,790,571,608,310,2462,280,319,26,312,334,936,1000,4216,239,1955,1208,116,441,1544
2020-07-07,134,530,64,824,151,101,1620,1703,109,6073,204,236,407,454,401,504,350,1155,101,319,1427,644,6068,599,87,4847,208,797,574,626,330,2522,281,321,26,336,350,954,1007,4273,240,2009,1248,120,445,1573
2020-07-08,137,545,64,886,154,101,1685,1783,114,6337,216,241,421,454,411,515,356,1230,106,325,1458,691,6235,649,88,5016,215,807,579,644,331,2612,285,327,28,344,358,983,1042,4344,249,2083,1256,127,459,1618
2020-07-09,138,575,73,908,158,106,1723,1908,117,6699,226,247,422,462,423,519,363,1295,108,331,1492,724,6443,669,93,5205,221,822,594,667,331,2677,294,328,32,355,373,1028,1072,4470,254,2158,1305,133,465,1685
2020-07-10,141,599,75,943,160,114,1814,2019,140,6961,235,261,432,463,432,531,370,1357,110,335,1525,729,6653,697,92,5377,248,832,612,692,340,2750,299,328,36,377,411,1066,1115,4571,259,2238,1313,138,469,1760
2020-07-11,150,636,83,995,171,130,1919,2106,148,7272,240,273,438,481,458,548,376,1442,121,360,1570,768,6929,767,101,5585,258,846,634,733,337,2834,304,329,43,393,428,1140,1150,4722,272,2363,1373,153,481,1839
