"Date","Carson City","Churchill","Clark","Douglas","Elko","Esmeralda","Eureka","Humboldt","Lander","Lincoln","Lyon","Mineral","Nye","Pershing","Storey","Washoe","White Pine"
2020-05-27,91,7,6287,30,24,0,0,78,20,2,56,4,61,0,1,1485,4
2020-05-28,94,7,6352,30,24,0,0,78,20,2,57,4,61,0,1,1514,4
2020-05-29,95,7,6457,30,24,0,0,78,20,2,61,4,62,0,1,1531,4
2020-05-30,95,7,6579,31,24,0,0,78,20,2,62,4,62,0,1,1548,4
2020-05-31,98,7,6657,32,24,0,0,78,20,2,62,4,62,0,1,1577,4
2020-06-01,99,7,6719,32,24,0,0,78,20,2,65,4,62,0,1,1585,4
2020-06-02,99,8,6845,32,25,0,0,78,20,2,68,4,64,2,1,1606,4
2020-06-03,99,8,6923,35,26,0,0,78,21,2,67,4,64,2,1,1618,3
2020-06-04,102,8,7056,37,26,0,0,78,21,2,80,4,64,2,1,1645,3
2020-06-05,107,8,7186,38,27,0,0,78,21,2,81,4,66,2,1,1685,3
2020-06-06,109,8,7331,38,27,0,0,78,21,2,82,4,66,2,1,1719,3
2020-06-07,109,8,7483,38,27,0,0,78,21,2,84,4,66,2,1,1743,3
2020-06-08,111,10,7592,38,27,0,0,78,23,2,87,4,66,2,1,1772,3
2020-06-09,114,10,7799,38,27,0,0,78,23,2,89,4,66,3,1,1788,3
2020-06-10,115,10,7915,39,33,0,0,78,24,2,89,4,69,4,1,1832,3
2020-06-11,115,10,8100,39,39,0,0,78,24,2,89,4,72,4,1,1893,3
2020-06-12,115,10,8314,39,37,0,0,78,22,2,91,4,69,5,1,1914,3
2020-06-13,118,10,8556,42,37,0,0,78,22,2,91,4,73,5,1,1955,3
2020-06-14,120,10,8735,42,37,0,0,78,22,2,92,4,73,5,1,1977,3
2020-06-15,123,10,8815,46,37,0,0,78,22,2,92,4,74,5,1,2003,3
2020-06-16,124,10,9157,47,47,0,0,78,23,2,92,4,74,5,1,2016,3
2020-06-17,124,10,9318,47,47,0,0,78,23,2,94,4,75,5,1,2023,3
2020-06-18,126,10,9535,48,56,0,0,79,23,2,96,4,75,5,1,2106,3
2020-06-19,126,10,9852,49,56,0,0,79,26,2,98,4,76,5,1,2137,3
2020-06-20,127,10,10259,49,58,0,0,79,26,2,98,4,76,5,1,2179,3
2020-06-21,128,10,10486,52,60,0,0,79,24,2,99,4,78,5,1,2209,3
2020-06-22,128,10,10774,52,60,0,0,79,24,2,99,4,78,5,1,2209,3
2020-06-23,132,11,11186,54,75,0,0,80,28,2,102,4,80,7,1,2232,3
2020-06-24,134,11,11481,58,76,0,0,81,33,2,102,4,82,7,2,2286,3
2020-06-25,139,11,11878,60,79,0,0,82,32,2,104,4,81,6,2,2376,3
2020-06-26,146,11,12204,60,96,0,1,81,32,2,107,4,81,6,2,2404,3
2020-06-27,147,10,13174,62,105,0,1,81,32,2,108,4,90,6,2,2512,3
2020-06-28,149,10,13910,64,115,0,1,82,35,2,110,4,94,6,2,2573,3
2020-06-29,151,11,14607,64,111,0,1,83,35,2,112,5,100,6,2,2600,4
2020-06-30,151,11,15095,65,121,0,1,83,35,2,115,5,104,6,2,2656,4
2020-07-01,155,12,15604,69,125,0,1,83,35,2,120,5,112,6,2,2766,4
2020-07-02,161,13,16180,70,129,0,1,85,35,2,121,5,114,6,2,2804,5
2020-07-03,167,14,17028,70,135,0,1,85,35,2,123,5,116,6,2,2923,6
2020-07-04,172,16,17707,72,140,0,1,84,38,2,126,5,122,9,2,3073,6
2020-07-05,177,18,18442,73,144,0,1,84,38,2,127,5,125,9,2,3165,6
2020-07-06,180,18,18818,74,155,0,1,84,38,2,129,5,130,9,2,3258,6
2020-07-07,182,20,19654,76,162,0,1,86,38,2,132,5,150,9,2,3260,6
2020-07-08,185,20,20126,79,162,0,1,86,38,2,135,5,150,9,2,3295,6
2020-07-09,194,26,20622,80,184,0,1,89,38,2,136,5,181,10,2,3328,6
2020-07-10,200,26,21449,82,213,0,1,90,40,2,140,6,182,10,2,3459,6
2020-07-11,208,24,22286,84,240,0,1,90,43,2,140,6,186,12,2,3507,7
2020-07-12,213,27,23048,86,244,0,1,90,43,2,142,6,186,12,2,3574,7
2020-07-13,220,29,23803,86,244,0,1,91,43,2,145,6,188,12,2,3635,8
2020-07-14,223,29,24824,88,264,0,1,91,45,2,147,6,188,12,2,3689,8
2020-07-15,229,31,25611,94,274,0,1,91,45,2,149,8,193,13,2,3716,9
2020-07-16,230,31,26926,97,285,0,1,91,47,3,150,8,212,13,2,3810,9
2020-07-17,240,32,28189,97,295,0,1,91,47,3,155,10,215,13,2,3895,10
2020-07-18,248,34,29304,97,297,0,1,90,46,3,156,10,215,13,2,3951,10
2020-07-19,251,33,30432,101,325,0,2,91,47,3,154,10,236,13,3,4054,10
2020-07-20,252,33,31312,103,332,0,2,92,47,3,156,10,237,13,2,4108,11
